"time","timeDifference","inDeadZone","x","y","theta"
"1483405277.731047","0.24152183532714844","False","628.0","524.0","177.436229788535"
"1483405277.750847","0.261322021484375","False","628.0","524.0","178.13276266568062"
"1483405277.772701","0.2831759452819824","False","628.0","524.0","178.21008939175394"
"1483405277.790675","0.301149845123291","False","628.0","524.0","178.21008939175394"
"1483405277.810681","0.32115602493286133","False","627.0","524.0","177.73322591253915"
"1483405277.874166","0.3846409320831299","False","643.0","523.0","177.436229788535"
"1483405277.89352","0.4039950370788574","False","627.0","524.0","177.96314259644578"
"1483405277.91066","0.42113494873046875","False","627.0","523.0","178.21008939175394"
"1483405277.931208","0.4416828155517578","False","627.0","523.0","177.96313917139412"
"1483405277.951284","0.4617588520050049","False","627.0","523.0","178.21008939175394"
"1483405277.974055","0.484529972076416","False","628.0","524.0","178.21008939175394"
"1483405277.994427","0.5049018859863281","False","628.0","524.0","178.21008939175394"
"1483405278.01235","0.5228250026702881","False","628.0","524.0","178.21008939175394"
"1483405278.030551","0.5410258769989014","False","627.0","523.0","177.98002850423623"
"1483405278.075964","0.5864388942718506","False","643.0","523.0","177.28140671787708"
"1483405278.092481","0.6029558181762695","False","628.0","524.0","178.21008939175394"
"1483405278.111281","0.621755838394165","False","627.0","524.0","177.94987272048792"
"1483405278.154476","0.6649508476257324","False","643.0","523.0","178.13276266568062"
"1483405278.171724","0.6821990013122559","False","628.0","524.0","178.21008939175394"
"1483405278.191694","0.7021689414978027","False","628.0","524.0","178.21008939175394"
"1483405278.212332","0.7228069305419922","False","628.0","524.0","178.21008939175394"
"1483405278.231438","0.741912841796875","False","628.0","524.0","178.21008939175394"
"1483405278.252607","0.7630820274353027","False","628.0","524.0","178.21008939175394"
"1483405278.270379","0.7808539867401123","False","628.0","524.0","178.21008939175394"
"1483405278.292566","0.8030409812927246","False","627.0","524.0","177.73322591253915"
"1483405278.312264","0.8227388858795166","False","627.0","524.0","177.37251833414228"
"1483405278.353793","0.8642678260803223","False","643.0","523.0","178.13276266568062"
"1483405278.373455","0.883929967880249","False","628.0","524.0","178.21008939175394"
"1483405278.391192","0.9016668796539307","False","628.0","524.0","178.21008939175394"
"1483405278.412457","0.9229319095611572","False","628.0","524.0","178.21008939175394"
"1483405278.431481","0.9419558048248291","False","628.0","524.0","178.13276266568062"
"1483405278.452378","0.962852954864502","False","628.0","524.0","178.21008939175394"
"1483405278.47128","0.9817550182342529","False","628.0","524.0","178.21008939175394"
"1483405278.492185","1.0026600360870361","False","627.0","523.0","178.21008939175394"
"1483405278.553561","1.0640358924865723","False","627.0","523.0","177.73323273204326"
"1483405278.572204","1.082679033279419","False","628.0","524.0","178.38526404693218"
"1483405278.590673","1.1011478900909424","False","643.0","523.0","177.91053493308422"
"1483405278.677317","1.1877918243408203","False","627.0","524.0","178.13275009151448"
"1483405278.692061","1.20253586769104","False","628.0","524.0","178.21008939175394"
"1483405278.712229","1.2227039337158203","False","628.0","524.0","178.21008939175394"
"1483405278.730909","1.2413840293884277","False","628.0","524.0","178.21008939175394"
"1483405278.750845","1.261319875717163","False","628.0","524.0","178.21008939175394"
"1483405278.918394","1.4288690090179443","False","627.0","523.0","178.21008939175394"
"1483405278.919288","1.429762840270996","False","628.0","524.0","178.21008939175394"
"1483405278.919422","1.4298968315124512","False","628.0","524.0","178.21008939175394"
"1483405278.919558","1.4300329685211182","False","627.0","524.0","177.91053493308422"
