"currentTime","timeDifference","totalIterations","accumulateIter","calibIter","inInternalZone","copterXPos","copterYPos","copterTheta","errorX","errorY","Xdiff","Ydiff","accumulateX","accumulateY","newPitch","newRoll","bestPitch","bestRoll","-rollToSendDeg","pitchToSendDeg","-calRollToSendRad","calPitchToSendRad","-rollCalib","pitchCalib"
"1483393343.89427","6.129201889038086","0","1","0","True","819.0","625.0","4.0320933973194","-62.837246142723416","37.914120024059514","0","0","-0.23579412018647553","0.1422711388944723","0","0","0","0","-8.151535805172795","-13.510007920685535","-0.1422711388944723","-0.23579412018647553","0","0"
"1483393343.9001","6.1350319385528564","1","2","0","True","819.0","625.0","4.0320933973194","-62.837246142723416","37.914120024059514","0","0","-0.25224487275762497","0.15219703230571455","0","0","0","0","-0.5687118003608926","-0.9425586921408512","-0.009925893411242252","-0.016450752571149453","0","0"
"1483393343.90537","6.140301942825317","2","3","0","True","812.0","613.0","4.039397605798922","-48.81181766054729","40.3782918989088","0","0","-0.21606579553512711","0.17136962691545657","0","0","0","0","-1.098508753453489","2.0729084315270154","-0.01917259460974201","0.03617907722249785","0","0"
"1483393343.910809","6.145740985870361","3","4","0","True","812.0","613.0","4.039397605798922","-48.81181766054729","40.3782918989088","0","0","-0.2288446995160221","0.18194063901496624","0","0","0","0","-0.6056743784836319","-0.7321772649082093","-0.010571012099509678","-0.012778903980894991","0","0"
"1483393343.916194","6.151125907897949","4","5","0","True","812.0","613.0","4.039397605798922","-48.81181766054729","40.3782918989088","0","0","-0.24162360349691708","0.1925116511144759","0","0","0","0","-0.6056743784836319","-0.7321772649082093","-0.010571012099509678","-0.012778903980894991","0","0"
"1483393343.921522","6.156453847885132","5","6","0","True","817.0","617.0","4.066164594078238","-53.917990601239815","43.25332691856911","0","0","-0.2735632064259471","0.21387111106267623","0","0","0","0","-1.2238069077105984","-1.830004447157102","-0.02135945994820032","-0.03193960292903002","0","0"
"1483393343.926947","6.161879062652588","6","7","0","True","817.0","617.0","4.066164594078238","-53.917990601239815","43.25332691856911","0","0","-0.287678903356712","0.22519480557023408","0","0","0","0","-0.6487999037785366","-0.8087698590185972","-0.011323694507557863","-0.014115696930764877","0","0"
"1483393343.93231","6.167242050170898","7","8","0","True","817.0","617.0","4.066164594078238","-53.917990601239815","43.25332691856911","0","0","-0.30179460028747684","0.23651850007779193","0","0","0","0","-0.6487999037785366","-0.8087698590185972","-0.011323694507557863","-0.014115696930764877","0","0"
"1483393343.93758","6.172512054443359","8","9","0","True","817.0","617.0","4.066164594078238","-53.917990601239815","43.25332691856911","0","0","-0.3159102972182417","0.24784219458534978","0","0","0","0","-0.6487999037785366","-0.8087698590185972","-0.011323694507557863","-0.014115696930764877","0","0"
"1483393343.942975","6.1779069900512695","9","10","0","True","822.0","620.0","4.066164594078238","-59.32396178052667","45.438613080315406","0","0","-0.350311673363499","0.26736608339636725","0","0","0","0","-1.1186364285539907","-1.971053662565272","-0.019523888811017447","-0.0344013761452573","0","0"
"1483393343.948379","6.1833109855651855","10","11","0","True","822.0","620.0","4.066164594078238","-59.32396178052667","45.438613080315406","0","0","-0.365842650239461","0.27926188448323624","0","0","0","0","-0.6815791962047311","-0.8898594267079001","-0.011895801086868996","-0.015530976875962022","0","0"
"1483393343.953803","6.188735008239746","11","12","0","True","822.0","620.0","4.066164594078238","-59.32396178052667","45.438613080315406","0","0","-0.381373627115423","0.29115768557010524","0","0","0","0","-0.6815791962047311","-0.8898594267079001","-0.011895801086868996","-0.015530976875962022","0","0"
"1483393343.95921","6.194141864776611","12","13","0","True","822.0","620.0","4.066164594078238","-59.32396178052667","45.438613080315406","0","0","-0.396904603991385","0.30305348665697424","0","0","0","0","-0.6815791962047311","-0.8898594267079001","-0.011895801086868996","-0.015530976875962022","0","0"
"1483393343.964568","6.199499845504761","13","14","0","True","828.0","622.0","4.059385640131339","-64.8645953589455","48.585844326514156","0","0","-0.43322657506418927","0.3267591404709229","0","0","0","0","-1.3582339141374622","-2.081095646067946","-0.023705653813948672","-0.03632197107280424","0","0"
"1483393343.969826","6.204757928848267","14","15","0","True","828.0","622.0","4.059385640131339","-64.8645953589455","48.585844326514156","0","0","-0.45020808641900073","0.3394788847713091","0","0","0","0","-0.7287876648977123","-0.9729689303841824","-0.012719744300386183","-0.01698151135481148","0","0"
"1483393343.975229","6.210160970687866","15","16","0","True","828.0","622.0","4.059385640131339","-64.8645953589455","48.585844326514156","0","0","-0.4671895977738122","0.3521986290716953","0","0","0","0","-0.7287876648977123","-0.9729689303841824","-0.012719744300386183","-0.01698151135481148","0","0"
"1483393343.980569","6.215500831604004","16","17","0","True","832.0","626.0","4.054052049652911","-70.73406047051014","48.95602812069433","0","0","-0.5061960298070877","0.3663074724719648","0","0","0","0","-0.8083771806464491","-2.2349039293705824","-0.014108843400269522","-0.039006432033275466","0","0"
"1483393343.98595","6.220881938934326","17","18","0","True","832.0","626.0","4.054052049652911","-70.73406047051014","48.95602812069433","0","0","-0.5247141635348153","0.3791241306630405","0","0","0","0","-0.7343404218104149","-1.061010907057652","-0.01281665819107572","-0.018518133727727572","0","0"
"1483393343.991352","6.226284027099609","18","19","0","True","832.0","626.0","4.054052049652911","-70.73406047051014","48.95602812069433","0","0","-0.5432322972625429","0.3919407888541162","0","0","0","0","-0.7343404218104149","-1.061010907057652","-0.01281665819107572","-0.018518133727727572","0","0"
"1483393343.996774","6.231705904006958","19","20","0","True","832.0","626.0","4.054052049652911","-70.73406047051014","48.95602812069433","0","0","-0.5617504309902704","0.4047574470451919","0","0","0","0","-0.7343404218104149","-1.061010907057652","-0.01281665819107572","-0.018518133727727572","0","0"
"1483393344.002093","6.237025022506714","20","21","0","True","838.0","629.0","4.067439690900443","-76.07667385516874","52.889882729443485","0","0","-0.6003164964760314","0.43233572900801426","0","0","0","0","-1.580119162691484","-2.209672784759249","-0.02757828196282234","-0.03856606548576087","0","0"
