"time","timeDifference","inDeadZone","x","y","theta"
"1483394314.644383","1.5795550346374512","False","628.0","502.0","175.94832341133505"
"1483394314.645093","1.5802650451660156","False","628.0","503.0","176.42366562500266"
"1483394314.645237","1.580409049987793","False","643.0","501.0","176.85562616814062"
"1483394314.645361","1.5805330276489258","False","628.0","503.0","175.94831661524427"
"1483394314.645554","1.580726146697998","False","628.0","503.0","175.94831661524427"
"1483394314.645607","1.5807790756225586","False","628.0","502.0","175.6012946450045"
"1483394314.645705","1.5808770656585693","False","628.0","502.0","176.42366562500266"
"1483394314.645804","1.5809760093688965","False","628.0","502.0","176.08175242185553"
"1483394314.645866","1.581037998199463","False","628.0","502.0","176.6036400046951"
"1483394314.660924","1.5960960388183594","False","628.0","502.0","176.42366562500266"
"1483394314.681799","1.6169710159301758","False","628.0","502.0","176.42366562500266"
"1483394314.721529","1.6567010879516602","False","628.0","503.0","175.9483098191536"
"1483394314.74114","1.67631196975708","False","628.0","502.0","176.42366562500266"
"1483394314.76111","1.696282148361206","False","628.0","501.0","176.42366562500266"
"1483394314.80181","1.7369821071624756","False","628.0","501.0","176.42366562500266"
"1483394314.820324","1.7554960250854492","False","628.0","502.0","176.42366562500266"
"1483394314.841818","1.7769901752471924","False","643.0","501.0","176.63353933657018"
"1483394314.881772","1.8169441223144531","False","628.0","502.0","176.42366562500266"
"1483394314.901261","1.8364331722259521","False","628.0","502.0","176.42366562500266"
"1483394314.964539","1.8997111320495605","False","628.0","503.0","176.42366562500266"
"1483394314.980072","1.9152441024780273","False","643.0","501.0","176.63353933657018"
"1483394315.002645","1.937817096710205","False","628.0","501.0","175.94831661524427"
"1483394315.043721","1.9788930416107178","False","628.0","501.0","175.9483098191536"
"1483394315.271542","2.206714153289795","False","628.0","502.0","176.42366562500266"
"1483394315.271851","2.2070231437683105","False","628.0","502.0","176.2017018291518"
"1483394315.272131","2.207303047180176","False","628.0","502.0","175.6012946450045"
"1483394315.272548","2.2077200412750244","False","628.0","502.0","175.94831661524427"
"1483394315.272815","2.207987070083618","False","628.0","502.0","176.42366562500266"
"1483394315.273214","2.208386182785034","False","628.0","502.0","176.42366562500266"
"1483394315.273601","2.208773136138916","False","628.0","502.0","176.42366562500266"
"1483394315.273896","2.2090680599212646","False","628.0","502.0","177.27368900609372"
"1483394315.274244","2.209416151046753","False","628.0","502.0","176.81418185116226"
"1483394315.274494","2.2096660137176514","False","628.0","502.0","175.6012946450045"
"1483394315.274697","2.209869146347046","False","628.0","502.0","176.42366562500266"
"1483394315.281186","2.216358184814453","False","628.0","502.0","177.20990862907206"
"1483394315.302268","2.2374401092529297","False","628.0","502.0","176.42366562500266"
"1483394315.322167","2.2573390007019043","False","643.0","501.0","177.28140671787708"
"1483394315.342562","2.2777340412139893","False","628.0","502.0","175.72969451325434"
"1483394315.36187","2.29704213142395","False","628.0","502.0","176.42366562500266"
"1483394315.381396","2.31656813621521","False","628.0","502.0","176.42366562500266"
"1483394315.402527","2.3376991748809814","False","628.0","502.0","177.28140671787708"
"1483394315.424088","2.359260082244873","False","643.0","501.0","176.81418185116226"
"1483394315.441489","2.3766610622406006","False","628.0","503.0","175.94831661524427"
"1483394315.463128","2.3983001708984375","False","628.0","503.0","176.42366562500266"
"1483394315.480793","2.4159650802612305","False","628.0","502.0","176.42366562500266"
"1483394315.522109","2.4572811126708984","False","628.0","502.0","176.81418185116226"
"1483394315.569371","2.5045430660247803","False","643.0","501.0","177.28140671787708"
"1483394315.602705","2.537877082824707","False","628.0","502.0","177.28140671787708"
"1483394315.642585","2.5777571201324463","False","628.0","502.0","175.6012946450045"
"1483394315.661169","2.596341133117676","False","628.0","503.0","175.94831661524427"
"1483394315.681559","2.6167311668395996","False","628.0","502.0","176.16836152098855"
"1483394315.700264","2.6354360580444336","False","628.0","502.0","176.42366562500266"
"1483394315.765371","2.700543165206909","False","628.0","501.0","176.42366562500266"
"1483394315.780847","2.7160191535949707","False","628.0","501.0","176.42366562500266"
"1483394315.802122","2.7372941970825195","False","628.0","503.0","176.42366562500266"
"1483394315.820916","2.7560880184173584","False","628.0","503.0","176.42366562500266"
"1483394315.847614","2.7827861309051514","False","628.0","502.0","176.42366562500266"
"1483394315.886303","2.821475028991699","False","628.0","502.0","175.6012946450045"
"1483394315.903011","2.8381831645965576","False","628.0","502.0","177.28140671787708"
"1483394315.923426","2.858597993850708","False","628.0","502.0","176.42366562500266"
"1483394315.942117","2.877289056777954","False","643.0","501.0","176.85562616814062"
"1483394315.961717","2.8968889713287354","False","628.0","502.0","175.94831661524427"
"1483394316.002896","2.938068151473999","False","628.0","502.0","177.20990862907206"
"1483394316.021171","2.956343173980713","False","628.0","502.0","176.81418185116226"
"1483394316.0603","2.9954721927642822","False","628.0","502.0","176.6938202512951"
"1483394316.079907","3.0150790214538574","False","643.0","501.0","176.81418185116226"
"1483394316.100642","3.035814046859741","False","628.0","502.0","176.6036400046951"
"1483394316.121324","3.0564961433410645","False","628.0","502.0","176.42366562500266"
"1483394316.140573","3.075745105743408","False","628.0","502.0","176.42366562500266"
