"time","timeDifference","inDeadZone","x","y","theta"
"1483390480.822812","0.26071810722351074","False","644.0","474.0","176.58572377937506"
"1483390480.866773","0.30467891693115234","False","644.0","474.0","176.23444358037543"
"1483390480.904975","0.3428809642791748","False","644.0","474.0","176.60961544470766"
"1483390480.92303","0.36093592643737793","False","659.0","473.0","175.79464299829144"
"1483390480.944747","0.38265299797058105","False","644.0","474.0","176.06893104969205"
"1483390480.967117","0.40502309799194336","False","644.0","474.0","176.4362247239902"
"1483390480.983787","0.4216930866241455","False","644.0","473.0","176.1880487957166"
"1483390481.003438","0.4413440227508545","False","644.0","474.0","176.4362247239902"
"1483390481.044101","0.4820070266723633","False","644.0","474.0","176.06893774319366"
"1483390481.060938","0.4988439083099365","False","644.0","473.0","176.65224904172098"
"1483390481.081169","0.5190749168395996","False","644.0","474.0","176.60961544470766"
"1483390481.101131","0.5390369892120361","False","644.0","474.0","176.4362247239902"
"1483390481.121046","0.5589520931243896","False","659.0","473.0","176.51501157844243"
"1483390481.141758","0.5796639919281006","False","644.0","474.0","176.28540387859414"
"1483390481.162009","0.5999150276184082","False","644.0","474.0","176.51501157844243"
"1483390481.182016","0.6199219226837158","False","644.0","474.0","176.4362247239902"
"1483390481.201016","0.6389219760894775","False","644.0","473.0","176.06893104969205"
"1483390481.222079","0.6599850654602051","False","644.0","474.0","176.2344306949601"
"1483390481.240506","0.6784119606018066","False","644.0","474.0","176.4362247239902"
"1483390481.261774","0.6996800899505615","False","644.0","474.0","176.1482714860065"
"1483390481.281","0.7189059257507324","False","644.0","474.0","176.51501157844243"
"1483390481.30097","0.7388761043548584","False","644.0","473.0","176.06893104969205"
"1483390481.322011","0.7599170207977295","False","644.0","474.0","176.4362247239902"
"1483390481.341461","0.7793669700622559","False","644.0","473.0","176.4362247239902"
"1483390481.361724","0.7996299266815186","False","659.0","473.0","176.51501157844243"
"1483390481.380894","0.8187999725341797","False","644.0","474.0","176.51501157844243"
"1483390481.401129","0.8390350341796875","False","644.0","474.0","176.4362247239902"
"1483390481.421712","0.8596179485321045","False","644.0","474.0","176.4362247239902"
"1483390481.441263","0.8791689872741699","False","644.0","474.0","176.58572377937506"
"1483390481.461336","0.8992419242858887","False","659.0","473.0","176.51501157844243"
"1483390481.794919","1.2328250408172607","False","644.0","474.0","176.43623138275927"
"1483390481.795213","1.233119010925293","False","644.0","473.0","176.58572377937506"
"1483390481.795394","1.233299970626831","False","644.0","474.0","176.06893104969205"
"1483390481.79558","1.2334859371185303","False","644.0","474.0","176.23444358037543"
"1483390481.795752","1.2336580753326416","False","644.0","474.0","176.2471587489764"
"1483390481.795907","1.2338130474090576","False","644.0","474.0","176.4362247239902"
"1483390481.796023","1.233928918838501","False","644.0","474.0","176.51501157844243"
"1483390481.796132","1.2340381145477295","False","644.0","474.0","176.23444358037543"
"1483390481.796237","1.2341430187225342","False","644.0","474.0","176.4362247239902"
"1483390481.798029","1.2359349727630615","False","644.0","474.0","176.65224904172098"
"1483390481.79822","1.2361259460449219","False","644.0","474.0","176.8192582597775"
"1483390481.802235","1.2401409149169922","False","644.0","474.0","176.43623138275927"
"1483390481.822031","1.259937047958374","False","644.0","474.0","176.58572377937506"
"1483390481.86226","1.300166130065918","False","659.0","473.0","176.51501157844243"
"1483390481.880838","1.3187439441680908","False","644.0","474.0","176.06893104969205"
"1483390481.902578","1.3404841423034668","False","644.0","474.0","176.06893104969205"
"1483390481.921321","1.359226942062378","False","644.0","474.0","176.51501157844243"
"1483390481.941117","1.3790230751037598","False","644.0","473.0","176.06893104969205"
"1483390481.961299","1.399204969406128","False","644.0","474.0","176.06893104969205"
"1483390481.981984","1.4198899269104004","False","644.0","474.0","176.2344306949601"
"1483390482.022058","1.4599640369415283","False","644.0","474.0","176.43623138275927"
"1483390482.041332","1.4792380332946777","False","644.0","474.0","176.4362247239902"
"1483390482.062046","1.4999520778656006","False","644.0","473.0","176.4362247239902"
"1483390482.080865","1.5187709331512451","False","644.0","474.0","176.4362247239902"
"1483390482.101813","1.5397191047668457","False","644.0","474.0","176.3442284375008"
"1483390482.120664","1.5585699081420898","False","659.0","473.0","175.79464299829144"
"1483390482.162111","1.6000170707702637","False","644.0","474.0","176.43623138275927"
"1483390482.18189","1.6197960376739502","False","644.0","474.0","176.4362247239902"
"1483390482.201506","1.6394119262695312","False","644.0","473.0","176.81925163784376"
"1483390482.264314","1.7022199630737305","False","659.0","473.0","176.5149981489122"
"1483390482.280975","1.7188811302185059","False","644.0","474.0","176.51501157844243"
"1483390482.321759","1.7596650123596191","False","644.0","474.0","176.06893774319366"
"1483390482.341422","1.7793281078338623","False","644.0","473.0","177.03478011663356"
"1483390482.361266","1.7991719245910645","False","644.0","474.0","176.58572377937506"
"1483390482.381638","1.8195440769195557","False","644.0","474.0","176.58572377937506"
"1483390482.401485","1.8393909931182861","False","644.0","473.0","176.74936710669598"
"1483390482.421159","1.859065055847168","False","659.0","473.0","176.51501157844243"
"1483390482.441224","1.8791301250457764","False","644.0","474.0","176.51501157844243"
"1483390482.461708","1.8996140956878662","False","644.0","473.0","176.35864999589273"
"1483390482.481201","1.9191069602966309","False","644.0","474.0","176.4362247239902"
"1483390482.502896","1.9408020973205566","False","644.0","474.0","176.74936710669598"
"1483390482.54248","1.9803860187530518","False","659.0","473.0","176.51501157844243"
"1483390482.583298","2.0212039947509766","False","644.0","474.0","176.51501157844243"
"1483390482.601071","2.0389769077301025","False","644.0","474.0","176.3442284375008"
"1483390482.620983","2.0588889122009277","False","644.0","473.0","176.06893104969205"
"1483390482.684935","2.1228411197662354","False","659.0","473.0","176.5149981489122"
"1483390482.70109","2.138996124267578","False","659.0","473.0","176.51501157844243"
"1483390482.968058","2.4059641361236572","False","659.0","473.0","176.5149981489122"
"1483390482.968226","2.4061319828033447","False","659.0","473.0","176.2543949834656"
"1483390482.968486","2.4063920974731445","False","659.0","473.0","176.5149981489122"
"1483390482.968614","2.406520128250122","False","659.0","473.0","176.51501157844243"
"1483390482.968705","2.4066109657287598","False","659.0","473.0","176.51501157844243"
"1483390482.968786","2.4066920280456543","False","644.0","473.0","176.43622805337472"
"1483390482.96884","2.4067459106445312","False","644.0","474.0","176.2344306949601"
"1483390482.981544","2.419450044631958","False","644.0","473.0","176.4362247239902"
"1483390483.02275","2.460655927658081","False","644.0","474.0","176.43623138275927"
"1483390483.042173","2.480078935623169","False","644.0","474.0","176.4362247239902"
