"time","timeDifference","inDeadZone","x","y","theta"
"1483395178.848175","0.41333913803100586","False","633.0","501.0","177.26920851294594"
"1483395178.889166","0.4543302059173584","False","633.0","502.0","176.78261598932585"
"1483395178.907801","0.4729650020599365","False","633.0","502.0","177.16967203900623"
"1483395178.922601","0.4877650737762451","False","633.0","502.0","177.26920851294594"
"1483395178.941026","0.5061900615692139","False","633.0","502.0","177.26920851294594"
"1483395178.967063","0.5322270393371582","False","633.0","502.0","177.26920851294594"
"1483395179.009458","0.5746221542358398","False","633.0","501.0","177.26920851294594"
"1483395179.029468","0.5946321487426758","False","633.0","501.0","176.78261598932585"
"1483395179.042551","0.6077151298522949","False","633.0","501.0","177.26920851294594"
"1483395179.270998","0.8361620903015137","False","633.0","501.0","177.11137584910855"
"1483395179.271245","0.8364090919494629","False","633.0","502.0","177.26920851294594"
"1483395179.271549","0.8367130756378174","False","633.0","502.0","177.2550409757516"
"1483395179.271748","0.8369121551513672","False","633.0","502.0","177.07823912849244"
"1483395179.271971","0.8371350765228271","False","649.0","501.0","177.47388308838046"
"1483395179.272145","0.8373091220855713","False","633.0","502.0","177.26921190235535"
"1483395179.272308","0.8374722003936768","False","633.0","502.0","177.2550409757516"
"1483395179.27247","0.8376340866088867","False","633.0","502.0","177.26920851294594"
"1483395179.272636","0.8378000259399414","False","633.0","501.0","177.0656666869707"
"1483395179.289343","0.8545072078704834","False","633.0","502.0","177.07823912849244"
"1483395179.305318","0.8704822063446045","False","633.0","502.0","177.49384588078547"
"1483395179.370515","0.9356791973114014","False","633.0","502.0","177.25506914943293"
"1483395179.386837","0.9520010948181152","False","633.0","502.0","176.78261598932585"
"1483395179.406923","0.9720871448516846","False","649.0","501.0","177.436229788535"
"1483395179.42928","0.9944441318511963","False","633.0","502.0","177.26921190235535"
"1483395179.444448","1.0096120834350586","False","633.0","502.0","177.436229788535"
"1483395179.464114","1.029278039932251","False","633.0","502.0","177.47388308838046"
