"time","timeDifference","inDeadZone","x","y","theta"
"1483393016.193199","0.5027480125427246","False","632.0","488.0","180.17001600424655"
"1483393016.214384","0.5239331722259521","False","632.0","488.0","180.13003964024955"
"1483393016.233281","0.5428299903869629","False","632.0","488.0","180.17001600424655"
"1483393016.253456","0.5630052089691162","False","648.0","488.0","179.5478956141599"
"1483393016.27632","0.5858690738677979","False","632.0","488.0","179.28854705951176"
"1483393016.294351","0.6039001941680908","False","632.0","488.0","180.17001600424655"
"1483393016.312837","0.6223859786987305","False","632.0","487.0","180.1686150577868"
"1483393016.333881","0.6434299945831299","False","632.0","488.0","180.13111090032118"
"1483393016.352625","0.6621739864349365","False","648.0","488.0","179.6085787718719"
"1483393016.373794","0.6833431720733643","False","632.0","487.0","180.13003964024955"
"1483393016.392488","0.7020370960235596","False","632.0","488.0","180.17001600424655"
"1483393016.413369","0.7229180335998535","False","632.0","488.0","180.1686150577868"
"1483393016.454844","0.7643930912017822","False","632.0","488.0","180.13003962505024"
"1483393016.472619","0.7821681499481201","False","632.0","488.0","180.1686150577868"
"1483393016.493728","0.8032770156860352","False","632.0","487.0","180.17001600424655"
"1483393016.513445","0.8229939937591553","False","632.0","488.0","180.17001600424655"
"1483393016.533989","0.8435380458831787","False","648.0","488.0","179.5546050183636"
"1483393016.552451","0.8619999885559082","False","632.0","487.0","180.1686150577868"
"1483393016.576512","0.8860611915588379","False","632.0","488.0","180.1686150577868"
"1483393016.592891","0.902440071105957","False","632.0","488.0","180.13111090032118"
"1483393016.633472","0.9430210590362549","False","632.0","488.0","180.16861503791122"
"1483393016.654156","0.9637050628662109","False","632.0","488.0","180.13003964024955"
"1483393016.673246","0.982795000076294","False","632.0","487.0","180.17001600424655"
"1483393016.694329","1.003878116607666","False","632.0","488.0","180.13111090032118"
"1483393016.719327","1.0288760662078857","False","632.0","488.0","179.7395674075853"
"1483393016.733748","1.0432970523834229","False","648.0","488.0","179.5478956141599"
"1483393016.752665","1.0622141361236572","False","632.0","488.0","180.13111090032118"
"1483393016.774095","1.083644151687622","False","632.0","488.0","180.1686150577868"
"1483393016.792482","1.1020309925079346","False","632.0","488.0","180.13111090032118"
"1483393016.834157","1.1437060832977295","False","632.0","488.0","180.17001600424655"
"1483393016.854052","1.1636011600494385","False","632.0","488.0","180.13111090032118"
"1483393016.872338","1.181887149810791","False","632.0","487.0","180.1686150577868"
"1483393016.894131","1.2036800384521484","False","632.0","488.0","180.13003964024955"
"1483393016.934788","1.2443370819091797","False","632.0","487.0","180.17001600424655"
"1483393016.952726","1.262274980545044","False","632.0","488.0","180.13111090032118"
"1483393016.973575","1.2831242084503174","False","632.0","488.0","180.1686150577868"
"1483393016.992995","1.302544116973877","False","632.0","487.0","179.69397184236226"
"1483393017.03351","1.3430590629577637","False","632.0","488.0","180.16861503791122"
"1483393017.054899","1.364448070526123","False","632.0","487.0","180.17001600424655"
"1483393017.072922","1.3824710845947266","False","632.0","488.0","180.13111090032118"
"1483393017.09316","1.4027090072631836","False","632.0","488.0","180.13003964024955"
"1483393017.134308","1.443857192993164","False","632.0","488.0","180.13003962505024"
"1483393017.35981","1.6693592071533203","False","632.0","488.0","180.13111090032118"
"1483393017.359971","1.6695201396942139","False","632.0","488.0","180.13111090032118"
"1483393017.360122","1.6696710586547852","False","632.0","488.0","180.13003964024955"
"1483393017.360255","1.6698040962219238","False","632.0","488.0","180.17001600424655"
"1483393017.360386","1.6699349880218506","False","632.0","488.0","180.13003964024955"
"1483393017.36049","1.670039176940918","False","632.0","488.0","180.1686150577868"
"1483393017.360627","1.6701760292053223","False","632.0","488.0","180.17001600424655"
"1483393017.360675","1.6702241897583008","False","632.0","488.0","180.1686150577868"
"1483393017.360753","1.670302152633667","False","632.0","488.0","180.13111090032118"
"1483393017.360836","1.6703851222991943","False","632.0","488.0","179.6075707671105"
"1483393017.360922","1.67047119140625","False","632.0","488.0","180.17001600424655"
"1483393017.373424","1.6829731464385986","False","632.0","488.0","180.17001600424655"
"1483393017.414704","1.7242531776428223","False","632.0","488.0","180.17001600424655"
"1483393017.435284","1.744832992553711","False","648.0","488.0","179.5546050183636"
"1483393017.453923","1.763472080230713","False","632.0","488.0","180.1686150577868"
"1483393017.47262","1.7821691036224365","False","632.0","488.0","180.1686150577868"
"1483393017.493182","1.8027310371398926","False","632.0","487.0","180.17001600424655"
"1483393017.512461","1.8220100402832031","False","632.0","487.0","180.1686150577868"
"1483393017.536858","1.846407175064087","False","632.0","488.0","180.1686150577868"
"1483393017.553018","1.8625671863555908","False","648.0","488.0","179.6476275735338"
"1483393017.573393","1.8829421997070312","False","632.0","488.0","180.17001600424655"
"1483393017.593283","1.90283203125","False","632.0","488.0","180.17001600424655"
"1483393017.612719","1.9222681522369385","False","632.0","488.0","179.6476275735338"
"1483393017.640048","1.9495971202850342","False","632.0","487.0","180.1686150577868"
"1483393017.673775","1.9833240509033203","False","632.0","488.0","180.16861503791122"
"1483393017.694225","2.0037741661071777","False","632.0","488.0","180.13111090032118"
"1483393017.712367","2.021916151046753","False","632.0","488.0","179.5546050183636"
"1483393017.733445","2.0429940223693848","False","632.0","488.0","180.1686150577868"
"1483393017.752753","2.0623021125793457","False","632.0","487.0","180.17001600424655"
"1483393017.773591","2.0831401348114014","False","632.0","488.0","180.17001600424655"
"1483393017.814101","2.123650074005127","False","632.0","488.0","180.17001600424655"
"1483393017.832516","2.1420650482177734","False","632.0","488.0","179.5546050183636"
"1483393017.85366","2.1632091999053955","False","632.0","488.0","180.17001600424655"
"1483393017.87253","2.1820790767669678","False","632.0","488.0","180.1686150577868"
"1483393017.893711","2.2032601833343506","False","632.0","488.0","180.1686150577868"
"1483393017.912848","2.2223970890045166","False","632.0","488.0","179.2576168380054"
"1483393017.954039","2.2635881900787354","False","632.0","488.0","180.16861503791122"
"1483393017.973275","2.2828240394592285","False","632.0","487.0","180.1686150577868"
"1483393017.994222","2.3037710189819336","False","632.0","487.0","180.17001600424655"
"1483393018.012851","2.3224000930786133","False","632.0","488.0","180.17001600424655"
"1483393018.032445","2.341994047164917","False","632.0","488.0","180.1686150577868"
"1483393018.053583","2.3631319999694824","False","632.0","488.0","180.13111090032118"
"1483393018.072815","2.38236403465271","False","632.0","487.0","180.1686150577868"
"1483393018.093395","2.4029440879821777","False","632.0","488.0","180.17001600424655"
"1483393018.112685","2.422234058380127","False","632.0","488.0","180.1686150577868"
"1483393018.132788","2.4423370361328125","False","632.0","488.0","179.28854705951176"
"1483393018.174346","2.4838950634002686","False","632.0","488.0","180.13003962505024"
"1483393018.214418","2.5239670276641846","False","632.0","488.0","180.16861503791122"
"1483393018.233215","2.542764186859131","False","632.0","488.0","180.17001600424655"
"1483393018.253679","2.563228130340576","False","632.0","487.0","180.1686150577868"
"1483393018.27241","2.5819590091705322","False","632.0","488.0","179.5546050183636"
"1483393018.293665","2.6032140254974365","False","632.0","488.0","180.17001600424655"
"1483393018.312825","2.6223740577697754","False","632.0","488.0","180.13111090032118"
"1483393018.334101","2.6436500549316406","False","632.0","488.0","180.13111090032118"
"1483393018.355163","2.6647121906280518","False","632.0","488.0","180.0"
"1483393018.373459","2.6830081939697266","False","632.0","488.0","180.1686150577868"
"1483393018.393106","2.702655076980591","False","632.0","488.0","180.13003964024955"
"1483393018.41413","2.7236790657043457","False","632.0","488.0","180.17001600424655"
"1483393018.6399","2.949449062347412","False","648.0","488.0","180.0"
"1483393018.640069","2.949618101119995","False","648.0","488.0","179.6476340254242"
"1483393018.64021","2.949759006500244","False","632.0","487.0","179.28854705951176"
"1483393018.640343","2.949892044067383","False","632.0","488.0","180.13111090032118"
"1483393018.640481","2.9500300884246826","False","632.0","488.0","180.16861503791122"
"1483393018.640679","2.950227975845337","False","632.0","487.0","180.1686150577868"
"1483393018.640842","2.9503910541534424","False","632.0","488.0","180.17001600424655"
"1483393018.640943","2.9504921436309814","False","632.0","488.0","180.0"
"1483393018.641031","2.95058012008667","False","632.0","488.0","180.1686150577868"
"1483393018.641103","2.9506521224975586","False","632.0","487.0","180.17001600424655"
