"time","timeDifference","inDeadZone","x","y","theta"
"1483394021.753513","0.29659509658813477","False","633.0","503.0","178.2248725238061"
"1483394021.773017","0.3160989284515381","False","633.0","503.0","177.7519402643689"
"1483394021.794058","0.3371400833129883","False","633.0","503.0","178.2248725238061"
"1483394021.81434","0.3574221134185791","False","633.0","503.0","177.7519402643689"
"1483394021.834253","0.3773350715637207","False","633.0","503.0","177.7519402643689"
"1483394021.853858","0.3969399929046631","False","633.0","504.0","177.7519402643689"
"1483394021.872932","0.4160139560699463","False","633.0","503.0","177.74884263883638"
"1483394021.893466","0.43654799461364746","False","633.0","503.0","178.2248725238061"
"1483394021.913291","0.4563729763031006","False","648.0","503.0","177.5673312694281"
"1483394021.933399","0.47648096084594727","False","633.0","503.0","178.2248725238061"
"1483394022.191073","0.7341549396514893","False","633.0","503.0","178.38526404693218"
"1483394022.191207","0.7342889308929443","False","633.0","503.0","177.7519402643689"
"1483394022.191318","0.7344000339508057","False","633.0","503.0","177.7519402643689"
"1483394022.191402","0.7344839572906494","False","633.0","503.0","177.7519402643689"
"1483394022.191496","0.7345778942108154","False","633.0","503.0","177.8900570099112"
"1483394022.191568","0.7346498966217041","False","648.0","503.0","177.9277030423977"
"1483394022.191708","0.7347900867462158","False","633.0","503.0","177.8157150903146"
"1483394022.191768","0.7348499298095703","False","633.0","503.0","177.8157150903146"
"1483394022.191847","0.734929084777832","False","633.0","503.0","177.8307438963098"
"1483394022.193027","0.7361090183258057","False","632.0","503.0","177.5146010205133"
"1483394022.216823","0.7599050998687744","False","633.0","504.0","177.93785616462227"
"1483394022.233415","0.7764968872070312","False","633.0","502.0","177.2965410241578"
"1483394022.253875","0.7969570159912109","False","633.0","503.0","177.2965410241578"
"1483394022.296081","0.839163064956665","False","633.0","503.0","177.29654134832077"
"1483394022.31342","0.8565020561218262","False","633.0","503.0","178.050186887939"
"1483394022.333376","0.876457929611206","False","633.0","503.0","177.7519402643689"
"1483394022.353867","0.896949052810669","False","633.0","503.0","177.7519402643689"
"1483394022.373822","0.9169039726257324","False","633.0","503.0","177.37251833414228"
"1483394022.394327","0.9374089241027832","False","633.0","503.0","177.7519402643689"
"1483394022.413148","0.9562299251556396","False","648.0","503.0","177.91053493308422"
"1483394022.433478","0.976560115814209","False","633.0","503.0","177.7519402643689"
"1483394022.453461","0.9965429306030273","False","648.0","503.0","177.756084598894"
"1483394022.474098","1.0171799659729004","False","633.0","503.0","177.7519402643689"
"1483394022.496373","1.0394549369812012","False","648.0","503.0","177.9277030423977"
"1483394022.513862","1.0569438934326172","False","633.0","503.0","178.2248725238061"
"1483394022.803886","1.3469679355621338","False","633.0","503.0","177.83073011202228"
"1483394022.805038","1.3481199741363525","False","633.0","503.0","177.7519402643689"
