"currentTime","timeDifference","totalIterations","accumulateIter","calibIter","inInternalZone","copterXPos","copterYPos","copterTheta","errorX","errorY","Xdiff","Ydiff","accumulateX","accumulateY","newPitch","newRoll","bestPitch","bestRoll","-rollToSendDeg","pitchToSendDeg","-calRollToSendRad","calPitchToSendRad","-rollCalib","pitchCalib"
"1483395184.618071","6.183171033859253","0","1","0","True","774.0","657.0","4.232692806252564","-61.642937284424164","-5.014806371989852","0","0","-0.2313125264859184","-0.01881784974636111","0","0","0","0","1.0781833699778183","-13.253231516151196","0.01881784974636111","-0.2313125264859184","0","0"
"1483395184.623389","6.188488960266113","1","2","0","True","779.0","660.0","4.222548810113102","-66.58854495591397","-2.6392575952762627","0","0","-0.2660087942656903","-0.011216576229973543","0","0","0","0","-0.435520891413574","-1.9879497086366718","-0.007601273516387567","-0.034696267779771875","0","0"
"1483395184.628724","6.193824052810669","2","3","0","True","779.0","660.0","4.222548810113102","-66.58854495591397","-2.6392575952762627","0","0","-0.2834416345695847","-0.011907532252661123","0","0","0","0","0.03958886392914394","-0.9988281743387096","0.0006909560226875808","-0.017432840303894418","0","0"
"1483395184.634061","6.199161052703857","3","4","0","True","779.0","660.0","4.222548810113102","-66.58854495591397","-2.6392575952762627","0","0","-0.3008744748734791","-0.012598488275348704","0","0","0","0","0.03958886392914394","-0.9988281743387096","0.0006909560226875808","-0.017432840303894418","0","0"
"1483395184.639434","6.20453405380249","4","5","0","True","779.0","660.0","4.222548810113102","-66.58854495591397","-2.6392575952762627","0","0","-0.31830731517737354","-0.013289444298036284","0","0","0","0","0.03958886392914394","-0.9988281743387096","0.0006909560226875808","-0.017432840303894418","0","0"
"1483395184.64483","6.209929943084717","5","6","0","True","783.0","664.0","4.235460061283562","-72.00691750687169","-0.06189635349860012","0","0","-0.35607237032075567","-0.00430896078902725","0","0","0","0","-0.5145438030530535","-2.1637782727946178","-0.008980483509009034","-0.037765055143382124","0","0"
"1483395184.650201","6.215301036834717","6","7","0","True","783.0","664.0","4.235460061283562","-72.00691750687169","-0.06189635349860012","0","0","-0.3749237372413585","-0.004325165216480183","0","0","0","0","0.0009284453024790018","-1.0801037626030752","1.620442745293325e-05","-0.01885136692060286","0","0"
"1483395184.65559","6.220690011978149","7","8","0","True","783.0","664.0","4.235460061283562","-72.00691750687169","-0.06189635349860012","0","0","-0.3937751041619614","-0.004341369643933116","0","0","0","0","0.0009284453024790018","-1.0801037626030752","1.620442745293325e-05","-0.01885136692060286","0","0"
"1483395184.661019","6.226119041442871","8","9","0","True","788.0","667.0","4.244028090218063","-76.93885455024059","3.6623299273717187","0","0","-0.4311333571627545","0.009617428227069338","0","0","0","0","-0.7997802050846395","-2.14047022692739","-0.013958797871002454","-0.037358253000793144","0","0"
"1483395184.666352","6.231451988220215","9","10","0","True","788.0","667.0","4.244028090218063","-76.93885455024059","3.6623299273717187","0","0","-0.45127590218197533","0.010576223959973758","0","0","0","0","-0.05493494891057578","-1.154082818253609","-0.0009587957329044194","-0.02014254501922079","0","0"
"1483395184.671697","6.236796855926514","10","11","0","True","788.0","667.0","4.244028090218063","-76.93885455024059","3.6623299273717187","0","0","-0.47141844720119613","0.011535019692878177","0","0","0","0","-0.05493494891057578","-1.154082818253609","-0.0009587957329044194","-0.02014254501922079","0","0"
"1483395184.677078","6.242177963256836","11","12","0","True","788.0","667.0","4.244028090218063","-76.93885455024059","3.6623299273717187","0","0","-0.49156099222041694","0.012493815425782597","0","0","0","0","-0.05493494891057578","-1.154082818253609","-0.0009587957329044194","-0.02014254501922079","0","0"
"1483395184.682388","6.247488021850586","12","13","0","True","802.0","687.0","4.237378224119592","-101.1501354579584","6.4536886225372925","0","0","-0.6025553493520949","0.023927067123171594","0","0","0","0","-0.6550770683711742","-6.359508213412937","-0.011433251697388997","-0.11099435713167796","0","0"
"1483395184.687745","6.252845048904419","13","14","0","True","802.0","687.0","4.237378224119592","-101.1501354579584","6.4536886225372925","0","0","-0.6290363928907894","0.025616638853598193","0","0","0","0","-0.09680532933805938","-1.5172520318693759","-0.0016895717304265992","-0.026481043538694543","0","0"
"1483395184.693063","6.258162975311279","14","15","0","True","802.0","687.0","4.237378224119592","-101.1501354579584","6.4536886225372925","0","0","-0.6555174364294839","0.02730621058402479","0","0","0","0","-0.09680532933805938","-1.5172520318693759","-0.0016895717304265992","-0.026481043538694543","0","0"
"1483395184.698429","6.263529062271118","15","16","0","True","802.0","687.0","4.237378224119592","-101.1501354579584","6.4536886225372925","0","0","-0.6819984799681784","0.02899578231445139","0","0","0","0","-0.09680532933805938","-1.5172520318693759","-0.0016895717304265992","-0.026481043538694543","0","0"
