"time","timeDifference","inDeadZone","x","y","theta"
"1483402746.461219","0.32920098304748535","False","632.0","524.0","180.0"
"1483402746.481009","0.34899091720581055","False","632.0","523.0","180.13219997265116"
"1483402746.501202","0.3691840171813965","False","632.0","524.0","180.90174788850493"
"1483402746.524979","0.3929610252380371","False","632.0","524.0","180.0"
"1483402746.563696","0.43167781829833984","False","632.0","524.0","180.0"
"1483402746.58121","0.4491918087005615","False","632.0","524.0","180.13111090032118"
"1483402746.644048","0.5120298862457275","False","632.0","523.0","181.0319578620654"
"1483402746.660037","0.5280189514160156","False","632.0","524.0","181.7357045889284"
"1483402746.702225","0.570206880569458","False","632.0","524.0","181.0208424980379"
"1483402746.721389","0.5893709659576416","False","632.0","524.0","181.0208424980379"
"1483402746.742829","0.6108109951019287","False","632.0","524.0","181.03194439755833"
"1483402746.781952","0.6499338150024414","False","632.0","524.0","180.13111090032118"
"1483402746.799617","0.6675989627838135","False","632.0","524.0","180.0"
"1483402746.820487","0.6884689331054688","False","632.0","524.0","180.0"
"1483402746.883364","0.7513458728790283","False","632.0","524.0","180.13112437342747"
"1483402746.900355","0.7683370113372803","False","632.0","524.0","180.0"
"1483402746.9209","0.7888820171356201","False","632.0","524.0","180.13111090032118"
"1483402746.96305","0.8310317993164062","False","632.0","524.0","180.13111090032118"
"1483402746.98139","0.8493719100952148","False","632.0","524.0","180.13111090032118"
"1483402746.999224","0.8672058582305908","False","632.0","524.0","180.13111090032118"
"1483402747.022237","0.89021897315979","False","632.0","524.0","180.17001600424655"
"1483402747.061973","0.929955005645752","False","647.0","524.0","181.0208424980379"
"1483402747.081129","0.9491109848022461","False","632.0","524.0","180.0"
"1483402747.099397","0.9673788547515869","False","632.0","524.0","180.23774362026325"
"1483402747.119357","0.9873390197753906","False","632.0","524.0","180.0"
"1483402747.163014","1.0309958457946777","False","632.0","524.0","180.0"
"1483402747.181033","1.0490148067474365","False","632.0","524.0","180.0"
"1483402747.201114","1.0690958499908447","False","632.0","524.0","180.30056412979104"
"1483402747.220256","1.088238000869751","False","632.0","524.0","181.03194439755833"
"1483402747.241591","1.1095728874206543","False","632.0","524.0","181.03194439755833"
"1483402747.260485","1.1284668445587158","False","632.0","523.0","180.23774362026325"
"1483402747.281965","1.149946928024292","False","632.0","524.0","180.0"
"1483402747.30094","1.168921947479248","False","632.0","524.0","180.0"
"1483402747.320833","1.1888148784637451","False","632.0","524.0","180.1714404458887"
"1483402747.344305","1.2122869491577148","False","647.0","524.0","181.0208424980379"
"1483402747.381543","1.2495248317718506","False","632.0","524.0","180.4097320532487"
"1483402747.400391","1.2683730125427246","False","632.0","524.0","181.0208424980379"
"1483402747.42338","1.2913618087768555","False","632.0","524.0","181.0208424980379"
"1483402747.524652","1.3926339149475098","False","632.0","524.0","180.0"
"1483402747.540522","1.4085040092468262","False","632.0","524.0","180.0"
"1483402747.559619","1.4276008605957031","False","632.0","524.0","180.17001600424655"
"1483402747.829167","1.6971487998962402","False","632.0","524.0","180.0"
"1483402747.829387","1.697368860244751","False","632.0","524.0","180.13111090032118"
"1483402747.829568","1.697549819946289","False","632.0","524.0","180.13111090032118"
"1483402747.829773","1.6977548599243164","False","632.0","524.0","180.13111090032118"
"1483402747.829936","1.6979179382324219","False","632.0","524.0","180.13219997265116"
"1483402747.830101","1.6980829238891602","False","632.0","524.0","180.9017477802365"
"1483402747.830316","1.6982979774475098","False","632.0","524.0","180.13111090032118"
"1483402747.830532","1.6985139846801758","False","647.0","524.0","181.02085581291234"
"1483402747.840356","1.7083380222320557","False","632.0","524.0","180.0"
"1483402747.861273","1.729254961013794","False","632.0","524.0","180.0"
"1483402747.879485","1.747466802597046","False","632.0","524.0","180.13111090032118"
"1483402747.902344","1.7703258991241455","False","632.0","524.0","180.0"
"1483402747.92028","1.788261890411377","False","632.0","524.0","180.0"
"1483402747.939416","1.8073978424072266","False","632.0","523.0","180.36862850265982"
"1483402747.96076","1.8287420272827148","False","632.0","524.0","181.0208424980379"
"1483402747.981599","1.849581003189087","False","632.0","524.0","180.13111090032118"
"1483402748.000994","1.8689758777618408","False","632.0","524.0","180.0"
"1483402748.021011","1.8889930248260498","False","632.0","524.0","180.13111090032118"
"1483402748.041195","1.9091768264770508","False","632.0","524.0","180.0"
"1483402748.082549","1.950531005859375","False","632.0","524.0","179.6075707671105"
"1483402748.144214","2.0121958255767822","False","647.0","524.0","181.02085581291234"
"1483402748.164577","2.0325589179992676","False","647.0","524.0","181.0208424980379"
"1483402748.202489","2.0704708099365234","False","632.0","524.0","181.0208424980379"
"1483402748.268012","2.1359939575195312","False","632.0","524.0","180.36863519510538"
"1483402748.28117","2.1491518020629883","False","632.0","524.0","180.0"
"1483402748.300553","2.168534994125366","False","632.0","524.0","180.0"
"1483402748.320712","2.1886940002441406","False","632.0","524.0","180.13111090032118"
"1483402748.339695","2.207676887512207","False","632.0","524.0","180.13111090032118"
"1483402748.360028","2.2280099391937256","False","632.0","524.0","180.13111090032118"
"1483402748.38215","2.250131845474243","False","632.0","524.0","180.0"
"1483402748.400408","2.268389940261841","False","632.0","523.0","180.13219997265116"
"1483402748.420631","2.2886128425598145","False","632.0","523.0","181.03194439755833"
"1483402748.441419","2.309400796890259","False","632.0","524.0","180.13111090032118"
"1483402748.459984","2.3279659748077393","False","632.0","524.0","180.13111090032118"
"1483402748.480407","2.348388910293579","False","632.0","524.0","180.13111090032118"
"1483402748.500333","2.3683149814605713","False","632.0","524.0","180.13111090032118"
"1483402748.520423","2.3884048461914062","False","632.0","524.0","181.2516398890324"
"1483402748.541554","2.4095358848571777","False","632.0","523.0","180.1320171902292"
"1483402748.560604","2.428586006164551","False","632.0","524.0","180.13219997265116"
"1483402748.581855","2.4498369693756104","False","632.0","524.0","180.13111090032118"
"1483402748.603147","2.4711289405822754","False","632.0","524.0","180.13111090032118"
"1483402748.619755","2.487736940383911","False","632.0","524.0","180.0"
"1483402748.64051","2.5084919929504395","False","632.0","524.0","180.13111090032118"
"1483402748.660868","2.5288498401641846","False","632.0","524.0","180.13111090032118"
"1483402748.682562","2.550544023513794","False","632.0","524.0","180.13111090032118"
"1483402748.701097","2.5690789222717285","False","632.0","524.0","180.13111090032118"
"1483402748.721342","2.5893239974975586","False","647.0","524.0","181.0208424980379"
"1483402748.738999","2.606980800628662","False","632.0","524.0","180.0"
"1483402748.760361","2.628342866897583","False","632.0","524.0","180.0"
"1483402748.779904","2.647885799407959","False","632.0","524.0","180.0"
"1483402748.823208","2.691190004348755","False","632.0","524.0","180.0"
"1483402748.842223","2.710204839706421","False","632.0","524.0","180.0"
"1483402749.065277","2.9332590103149414","False","632.0","524.0","180.0"
"1483402749.065509","2.9334909915924072","False","632.0","524.0","180.0"
"1483402749.065722","2.933703899383545","False","632.0","524.0","180.0"
"1483402749.065947","2.933928966522217","False","647.0","524.0","181.0208424980379"
"1483402749.06615","2.9341318607330322","False","632.0","524.0","180.13111090032118"
"1483402749.066381","2.9343628883361816","False","632.0","524.0","180.13111090032118"
"1483402749.066622","2.9346039295196533","False","632.0","524.0","180.13111090032118"
"1483402749.066726","2.9347078800201416","False","632.0","524.0","180.0"
"1483402749.130685","2.998667001724243","False","647.0","524.0","181.02085581291234"
"1483402749.141855","3.0098369121551514","False","632.0","524.0","180.0"
"1483402749.160458","3.028439998626709","False","632.0","524.0","180.0"
"1483402749.180934","3.0489158630371094","False","632.0","524.0","180.13111090032118"
"1483402749.199865","3.0678470134735107","False","632.0","524.0","180.13111090032118"
"1483402749.220048","3.0880298614501953","False","632.0","524.0","180.0"
"1483402749.24067","3.108651876449585","False","632.0","524.0","180.13111090032118"
"1483402749.262675","3.1306569576263428","False","632.0","524.0","180.13111090032118"
"1483402749.280581","3.1485629081726074","False","632.0","524.0","180.0"
"1483402749.299999","3.167980909347534","False","632.0","524.0","180.0"
"1483402749.320254","3.1882359981536865","False","632.0","524.0","180.0"
"1483402749.38501","3.2529919147491455","False","632.0","524.0","180.30059121690488"
"1483402749.400686","3.2686679363250732","False","632.0","524.0","180.0"
"1483402749.420461","3.288442850112915","False","632.0","524.0","180.0"
"1483402749.440152","3.308133840560913","False","632.0","524.0","180.13111090032118"
"1483402749.461824","3.329805850982666","False","632.0","524.0","180.0"
"1483402749.526208","3.3941898345947266","False","632.0","524.0","181.0319578620654"
"1483402749.542006","3.4099879264831543","False","632.0","524.0","180.13111090032118"
"1483402749.581914","3.4498958587646484","False","647.0","524.0","181.0208424980379"
"1483402749.600005","3.467986822128296","False","632.0","524.0","180.17001600424655"
"1483402749.622687","3.490669012069702","False","632.0","524.0","180.0"
"1483402749.640573","3.5085549354553223","False","632.0","524.0","180.0"
"1483402749.660475","3.528456926345825","False","632.0","524.0","180.0"
"1483402749.681247","3.5492289066314697","False","632.0","523.0","180.0"
"1483402749.699447","3.5674288272857666","False","632.0","524.0","180.13111090032118"
"1483402749.719783","3.5877649784088135","False","632.0","524.0","180.0"
"1483402749.740262","3.608243942260742","False","632.0","524.0","180.0"
"1483402749.804856","3.672837972640991","False","632.0","524.0","180.0"
"1483402749.819747","3.6877288818359375","False","632.0","524.0","180.0"
"1483402749.839736","3.7077178955078125","False","632.0","524.0","180.0"
"1483402749.88262","3.7506020069122314","False","632.0","524.0","181.03194439755833"
"1483402749.903965","3.771946907043457","False","632.0","524.0","180.0"
"1483402749.941259","3.8092408180236816","False","647.0","524.0","181.0208424980379"
"1483402749.959417","3.8273990154266357","False","647.0","524.0","180.8608066842243"
"1483402750.006574","3.874555826187134","False","632.0","524.0","180.49821315939903"
"1483402750.019891","3.8878729343414307","False","632.0","524.0","180.17001600424655"
"1483402750.042999","3.9109809398651123","False","632.0","524.0","180.13111090032118"
"1483402750.05915","3.9271318912506104","False","632.0","524.0","180.0"
"1483402750.080491","3.9484729766845703","False","632.0","524.0","180.13111090032118"
"1483402750.100922","3.9689040184020996","False","632.0","524.0","180.0"
"1483402750.121147","3.989128828048706","False","632.0","524.0","180.8608066842243"
"1483402750.389215","4.25719690322876","False","632.0","524.0","180.0"
"1483402750.389359","4.257340908050537","False","632.0","524.0","180.13111090032118"
"1483402750.389489","4.2574708461761475","False","632.0","524.0","180.0"
"1483402750.38962","4.257601976394653","False","632.0","524.0","181.0208424980379"
"1483402750.389727","4.25770902633667","False","632.0","524.0","180.0"
"1483402750.389827","4.2578089237213135","False","632.0","524.0","180.17001600424655"
"1483402750.389914","4.2578959465026855","False","647.0","524.0","181.0208424980379"
"1483402750.428266","4.296247959136963","False","647.0","524.0","181.02085581291234"
"1483402750.461527","4.329509019851685","False","632.0","524.0","180.36862172297336"
"1483402750.480973","4.348954916000366","False","647.0","524.0","181.0208424980379"
"1483402750.502296","4.3702778816223145","False","632.0","524.0","180.13111090032118"
"1483402750.541776","4.409757852554321","False","632.0","524.0","180.17001600424655"
"1483402750.563316","4.431298017501831","False","632.0","524.0","180.13111090032118"
"1483402750.582128","4.450109958648682","False","632.0","524.0","180.4097388912287"
"1483402750.601602","4.469583988189697","False","632.0","524.0","180.5374709381767"
"1483402750.623053","4.491034984588623","False","633.0","524.0","180.8914598477722"
"1483402750.640129","4.508111000061035","False","633.0","524.0","180.72382375402222"
"1483402750.660889","4.5288708209991455","False","633.0","525.0","181.1298192316202"
"1483402750.681273","4.549254894256592","False","649.0","525.0","181.70981404414152"
"1483402750.698932","4.566913843154907","False","633.0","524.0","181.35134167342878"
"1483402750.725791","4.593772888183594","False","633.0","525.0","180.89891864379578"
"1483402750.760479","4.628460884094238","False","633.0","525.0","181.5881329360938"
"1483402750.78272","4.650701999664307","False","633.0","525.0","181.55616481243686"
"1483402750.802498","4.670480012893677","False","633.0","526.0","181.76964641282956"
"1483402750.819942","4.687923908233643","False","633.0","526.0","182.64254529406472"
"1483402750.841641","4.709622859954834","False","633.0","526.0","183.439116688081"
"1483402750.860284","4.728266000747681","False","633.0","526.0","182.51595259555208"
"1483402750.880919","4.748900890350342","False","632.0","526.0","183.33546667825655"
